company,title,category,location,period,duration,posted_at,first_seen_at,last_seen_at,url
Temus,AI/Data Intern (May - Dec 2026),Data & AI,Singapore,May - Dec 2026,,2026-03-30T05:45:12-04:00,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://job-boards.greenhouse.io/temus/jobs/5169522008
ShopBack,Software Engineer Intern (H1 2027),Software,"Singapore, Singapore",H1 2027,,,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://jobs.lever.co/shopback-2/1804a30e-2d2e-4631-9e85-614c91806ddf
ShopBack,Operations Automation Engineer Intern,Software,"Singapore, Singapore",H2 2026,,,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://jobs.lever.co/shopback-2/0b3627b7-0c1a-46da-bc3d-699f8d5ca9e5
ShopBack,Data Analyst (Internship) (H1 2027),Data & AI,"Singapore, Singapore",H1 2027,,,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://jobs.lever.co/shopback-2/b216d68c-48b0-4fa5-8f1e-9e0375b993e1
Grab,"Intern, Strategy & Analytics, Transport",Data & AI,"Singapore, , Singapore",,,2026-09-16T07:45:24.403Z,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://jobs.smartrecruiters.com/Grab/744000149793152
Grab,"Intern, Fleet Systems Analyst",IT & Infrastructure,"Singapore, , Singapore",,,2026-09-04T05:49:10.342Z,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://jobs.smartrecruiters.com/Grab/744000147417629
Grab,"Intern, Analytics & Projects, GrabMart",Data & AI,"Singapore, , Singapore",,,2026-09-04T05:48:15.134Z,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://jobs.smartrecruiters.com/Grab/744000147417509
Grab,"Intern, Analytics & Projects, GrabMart",Data & AI,"Singapore, , Singapore",,,2026-09-04T05:44:19.733Z,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://jobs.smartrecruiters.com/Grab/744000147416979
Grab,"Intern, Analytics & Projects, GrabFood",Data & AI,"Singapore, , Singapore",,,2026-09-04T05:46:16.794Z,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://jobs.smartrecruiters.com/Grab/744000147417199
DRW,Software Engineer Intern (Data Engineering),Data & AI,Singapore,,,2026-08-13T01:02:11-04:00,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://job-boards.greenhouse.io/drweng/jobs/8127242
DRW,Software Developer Intern (C++),Software,Singapore,,,2026-07-13T02:23:22-04:00,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://job-boards.greenhouse.io/drweng/jobs/8014910
DRW,Quantitative Research Intern,Quant,Singapore,,,2026-07-13T02:23:01-04:00,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://job-boards.greenhouse.io/drweng/jobs/8014915
DRW,IT Intern,IT & Infrastructure,Singapore,,,2026-09-02T10:45:57-04:00,2026-09-21T09:51:22.516559+00:00,2026-09-21T09:51:22.516559+00:00,https://job-boards.greenhouse.io/drweng/jobs/8173677
